tract_geoid,tract_name,county_geoid,county_name,county_full_name,acs_unemp_total,acs_pov_total,school_total,broadband_total,health_ins_total,white_alone_total,acs_unemp_rate,acs_pov_rate,broadband_rate,health_ins_pct,white_alone_pct,school_age,depend_ratio,acs_unemp_score,acs_pov_score,acs_school_score,acs_broadband_score,acs_health_score,depend_score,white_alone_score
37051003309,"Census Tract 33.09, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,183,686,943,2271,670,3352,0.03,0.1,0.82,0.11,0.49,0.14,0.31,-0.36110339098432803,-0.5606980778008102,-0.6932308331178443,-1.0159303208467692,-0.03075000827089525,-0.7613615016438937,0.788604914244228
37051003407,"Census Tract 34.07, Cumberland County, North Carolina",37051,Cumberland,Cumberland County,0,28,74,32,0,1084,0,0.14,0.57,0,0.58,0.04,0.06,-1.5912460860861384,-0.1987446094461954,-2.470849616638485,0.3956556506037414,-1.846053063773994,-2.886041749950884,0.42026610159746786
37055970502,"Census Tract 9705.02, Dare County, North Carolina",37055,Dare,Dare County,229,700,565,1228,634,3685,0.07,0.19,0.68,0.17,0.98,0.15,0.39,1.2790868691514197,0.2536972259970728,-0.5154689547657806,-0.22544217683448375,0.9594152947307952,-0.08146382218565658,-1.2167952879436885
37055990100,"Census Tract 9901, Dare County, North Carolina",37055,Dare,Dare County,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5912460860861384,-1.4655817486873468,-3.181897130046741,3.614071665510905,-1.846053063773994,-3.395965009544562,2.794005116432144
37057061300,"Census Tract 613, Davidson County, North Carolina",37057,Davidson,Davidson County,79,497,396,497,216,1504,0.05,0.26,0.56,0.11,0.67,0.19,0.49,0.45899173908354585,0.8871157956176485,0.19557855864247572,0.45211908946176127,-0.03075000827089525,0.7684082771371394,0.05192728895070734
37063000102,"Census Tract 1.02, Durham County, North Carolina",37063,Durham,Durham County,283,1139,495,1195,1278,2378,0.08,0.27,0.65,0.31,0.54,0.12,0.28,1.6891344341853562,0.9776041627063022,-1.0487545898219728,-0.05605186026042234,3.269801001734739,-1.0163231314407324,0.5839722405515831
37063000301,"Census Tract 3.01, Durham County, North Carolina",37063,Durham,Durham County,88,542,377,828,296,1430,0.04,0.22,0.71,0.12,0.58,0.16,0.32,0.048944174049608914,0.5251623272630338,-0.3377070764137164,-0.39483249340854454,0.1342775422293864,-0.676374291711614,0.42026610159746786
37149920303,"Census Tract 9203.03, Polk County, North Carolina",37149,Polk,Polk County,38,312,263,599,208,2006,0.02,0.16,0.66,0.11,0.97,0.13,0.44,-0.7711509560182648,-0.017767875268888178,-0.8709927114699085,-0.11251529911844281,-0.03075000827089525,0.34347222747574147,-1.1758687532051597
37153970900,"Census Tract 9709, Richmond County, North Carolina",37153,Richmond,Richmond County,106,755,983,1449,438,3615,0.03,0.15,0.68,0.09,0.71,0.2,0.44,-0.36110339098432803,-0.10825624235754192,0.37334043699453995,-0.22544217683448375,-0.36080510927145876,0.34347222747574147,-0.111778850003408
37165010102,"Census Tract 101.02, Scotland County, North Carolina",37165,Scotland,Scotland County,213,1554,935,1028,577,2597,0.06,0.32,0.48,0.12,0.52,0.2,0.6,0.8690393041174824,1.4300459981495703,0.37334043699453995,0.9038266003259251,0.1342775422293864,1.703267586392215,0.6658253100286411
37171930101,"Census Tract 9301.01, Surry County, North Carolina",37171,Surry,Surry County,67,482,268,445,430,1890,0.04,0.24,0.55,0.21,0.94,0.14,0.31,0.048944174049608914,0.706139061440341,-0.6932308331178443,0.5085825283197818,1.6195254967319217,-0.7613615016438937,-1.0530891489895728
37179020203,"Census Tract 202.03, Union County, North Carolina",37179,Union,Union County,169,167,658,1136,201,3372,0.05,0.04,0.78,0.05,0.82,0.16,0.41,0.45899173908354585,-1.103628280332732,-0.3377070764137164,-0.7900765654146878,-1.0209153112725855,0.08851059767890235,-0.5619707321272259
37183050300,"Census Tract 503, Wake County, North Carolina",37183,Wake,Wake County,112,541,161,1575,180,2512,0.04,0.17,0.72,0.06,0.79,0.05,0.17,0.048944174049608914,0.07272049181976556,-2.293087738286421,-0.451295932266565,-0.8558877607723039,-1.9511824406958083,-0.43919112791163956
37183051000,"Census Tract 510, Wake County, North Carolina",37183,Wake,Wake County,105,656,115,1006,161,1995,0.04,0.27,0.69,0.07,0.81,0.05,0.09,0.048944174049608914,0.9776041627063022,-2.293087738286421,-0.2819056156925036,-0.690860210272022,-2.6310801201540457,-0.5210441973886974
