tract_geoid,tract_name,county_geoid,county_name,county_full_name,school_total,school_age,acs_pov_score
37083930200,"Census Tract 9302, Halifax County, North Carolina",37083,Halifax,Halifax County,1265,0.25,1.26214982875486
37119001505,"Census Tract 15.05, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,915,0.28,1.7954354638110526
37119001702,"Census Tract 17.02, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1138,0.2,0.37334043699453995
37119980300,"Census Tract 9803, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,0,0,-3.181897130046741
37125950900,"Census Tract 9509, Moore County, North Carolina",37125,Moore,Moore County,156,0.07,-1.9375639815822927
37119001923,"Census Tract 19.23, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,716,0.17,-0.1599451980616522
37119003017,"Census Tract 30.17, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,745,0.2,0.37334043699453995
37119003109,"Census Tract 31.09, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,940,0.23,0.9066260720507321
37191000500,"Census Tract 5, Wayne County, North Carolina",37191,Wayne,Wayne County,454,0.16,-0.3377070764137164
37191001900,"Census Tract 19, Wayne County, North Carolina",37191,Wayne,Wayne County,826,0.19,0.19557855864247572
37195000100,"Census Tract 1, Wilson County, North Carolina",37195,Wilson,Wilson County,725,0.2,0.37334043699453995
37195001400,"Census Tract 14, Wilson County, North Carolina",37195,Wilson,Wilson County,1772,0.2,0.37334043699453995
37199960400,"Census Tract 9604, Yancey County, North Carolina",37199,Yancey,Yancey County,713,0.18,0.017816680290411512
37183053509,"Census Tract 535.09, Wake County, North Carolina",37183,Wake,Wake County,1093,0.21,0.5511023153466037
37183053718,"Census Tract 537.18, Wake County, North Carolina",37183,Wake,Wake County,855,0.26,1.4399117071069243
37183054001,"Census Tract 540.01, Wake County, North Carolina",37183,Wake,Wake County,536,0.12,-1.0487545898219728
37019020511,"Census Tract 205.11, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,246,0.1,-1.4042783465261006
37021001000,"Census Tract 10, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,681,0.15,-0.5154689547657806
37101040700,"Census Tract 407, Johnston County, North Carolina",37101,Johnston,Johnston County,475,0.12,-1.0487545898219728
37105030300,"Census Tract 303, Lee County, North Carolina",37105,Lee,Lee County,448,0.17,-0.1599451980616522
37107010400,"Census Tract 104, Lenoir County, North Carolina",37107,Lenoir,Lenoir County,120,0.16,-0.3377070764137164
37109070201,"Census Tract 702.01, Lincoln County, North Carolina",37109,Lincoln,Lincoln County,886,0.2,0.37334043699453995
37183054018,"Census Tract 540.18, Wake County, North Carolina",37183,Wake,Wake County,551,0.17,-0.1599451980616522
37185950400,"Census Tract 9504, Warren County, North Carolina",37185,Warren,Warren County,613,0.17,-0.1599451980616522
37189920500,"Census Tract 9205, Watauga County, North Carolina",37189,Watauga,Watauga County,133,0.02,-2.8263733733426135
37041930102,"Census Tract 9301.02, Chowan County, North Carolina",37041,Chowan,Chowan County,452,0.19,0.19557855864247572
37047930500,"Census Tract 9305, Columbus County, North Carolina",37047,Columbus,Columbus County,609,0.15,-0.5154689547657806
37049960300,"Census Tract 9603, Craven County, North Carolina",37049,Craven,Craven County,1507,0.23,0.9066260720507321
37119004303,"Census Tract 43.03, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,550,0.19,0.19557855864247572
37119005511,"Census Tract 55.11, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,562,0.15,-0.5154689547657806
