name,namelsad,geoid,county_crf_total,hospital_crf_total,hhs_uninsured_total,rhc_testing_total,prov_relief_total,hhs_awards_total,county_crf_per_capita,hospital_crf_per_capita,hhs_uninsured_per_capita,rhc_testing_per_capita,prov_relief_per_capita,hhs_awards_per_capita,county_crf_score,hospital_crf_score,hhs_uninsured_score,rhc_testing_score,prov_relief_score,hhs_awards_score
"Transylvania County, North Carolina",Transylvania County,37175,1476797,726519,39795,0,2197444,0,44.066392146331275,21.678721690090413,1.1874496464058724,0,65.56989824844091,0,1,1,0,0,1,0
"Tyrrell County, North Carolina",Tyrrell County,37177,393284,0,196,49461,141148,0,95.48045642146153,0,0.04758436513716922,12.008011653313911,34.26754066521,0,1,0,0,1,0,0
"Wake County, North Carolina",Wake County,37183,193993721.2,2388171,7034930,0,52708317,460224567,185.36356437005878,2.2819289518593333,6.72196858654752,0,50.3634934709782,439.75065595982255,1,0,1,0,1,1
"Warren County, North Carolina",Warren County,37185,953968,0,14333,0,73802,0,47.619827284979785,0,0.7154694753656466,0,3.6840213647481654,0,1,0,0,0,0,0
"Washington County, North Carolina",Washington County,37187,663154,424066,37227,49461,213814,0,54.5536360644949,34.88532411977624,3.0624383020730503,4.0688548864758145,17.5891740704179,0,1,1,1,1,0,0
"Watauga County, North Carolina",Watauga County,37189,2254298,116676,13838,0,3942597,1857588,41.656004582663485,2.1559953434225845,0.25570523125819983,0,72.85320694051777,34.32540606463773,1,0,0,0,1,1
"Yadkin County, North Carolina",Yadkin County,37197,1593894,0,50412,0,716628,338341,42.31764237355635,0,1.338430904022302,0,19.02636399840701,8.982901898314084,1,0,0,0,0,0
"Yancey County, North Carolina",Yancey County,37199,894671,0,0,0,217640,0,50.64079923020321,0,0,0,12.319012848814173,0,1,0,0,0,0,0
"Alamance County, North Carolina",Alamance County,37001,6297789,188460,352137,0,4574503,0,39.21998928856118,1.173649860502192,2.1929615882821842,0,28.48808663810283,0,0,0,0,0,0,0
"Beaufort County, North Carolina",Beaufort County,37013,1926665,741566,401324,0,1686216,863572,40.782020616810954,15.696843976885464,8.494888131575047,0,35.692398873907244,18.279364138602546,0,1,1,0,0,1
"Buncombe County, North Carolina",Buncombe County,37021,9568844,1224214,508616,0,28624014,3284118,37.60244268569677,4.810762592642077,1.9986953480512744,0,112.4830591730393,12.905514905255547,0,0,0,0,1,1
"Burke County, North Carolina",Burke County,37023,3478349,1514452,421475,0,2712147,175762,38.77239388264669,16.881264490815052,4.698089441769217,0,30.231708132691278,1.9591804886748707,0,1,1,0,0,0
"Cabarrus County, North Carolina",Cabarrus County,37025,7972670,471438,169039,0,7095076,1256279,39.57681386759859,2.340246614510941,0.839119772844605,0,35.220384416822206,6.236244589174378,0,0,0,0,0,0
"Caldwell County, North Carolina",Caldwell County,37027,3181969,928639,211044,0,2511218,1015662,38.90936548502672,11.355470230743833,2.5806625172721604,0,30.707369862678682,12.419594272368212,0,1,0,0,0,0
"Carteret County, North Carolina",Carteret County,37031,2728677,1163152,19553,49461,3863497,667015,39.591947185142196,16.876842716192687,0.28370574579222285,0.7176581543818921,56.057704585026116,9.67810504933256,0,1,0,0,1,0
"Catawba County, North Carolina",Catawba County,37035,5942504,470158,542663,0,19328945,144680,37.915790951259815,2.99981496723644,3.4624287783371295,0,123.32717620861487,0.9231220769608688,0,0,1,0,1,0
"Chatham County, North Carolina",Chatham County,37037,2906961,567664,339434,0,2477310,0,41.65237638090871,8.13377083004972,4.86357839836082,0,35.49612414208136,0,0,0,1,0,0,0
"Cleveland County, North Carolina",Cleveland County,37045,3744580,1939179,772280,148384,4052191,323401,38.540742494261984,19.958820078428143,7.948620302802622,1.5272285634887144,41.70680019349726,3.3285748103623956,0,1,1,1,1,0
"Columbus County, North Carolina",Columbus County,37047,2230430,735637,127580,49461,2756762,0,39.62180022382889,13.06800135007905,2.2663563853409836,0.8786349990229692,48.97166610413373,0,0,1,0,0,1,0
"Craven County, North Carolina",Craven County,37049,3894143,2742195,157679,0,3275041,869817,37.777138588696374,26.602074076948448,1.529646301003085,0,31.771220969713433,8.438107526047224,0,1,0,0,0,0
"Cumberland County, North Carolina",Cumberland County,37051,12220382,5724634,504516,296769,13746438,1771574,36.796631196063906,17.237369996326475,1.5191414789254034,0.8935972249823851,41.39171830680566,5.334363125026347,0,1,0,0,1,0
"Davidson County, North Carolina",Davidson County,37057,6230000,170469,515718,0,3703437,0,37.83462080357577,1.035253607345868,3.1319414079580237,0,22.490872321818976,0,0,0,1,0,0,0
"Duplin County, North Carolina",Duplin County,37061,2345778,591996,606369,49461,2302103,2777294,39.71721242084589,10.023297551725305,10.266651992821103,0.8374420100910908,38.97773526125089,47.02336527716637,0,0,1,0,1,1
"Durham County, North Carolina",Durham County,37063,11720137,3423525,1448133,0,9954582,197988350,38.2439852899428,11.171306251774311,4.725403563958402,0,32.48280182864154,646.0558903859269,0,0,1,0,0,1
"Edgecombe County, North Carolina",Edgecombe County,37065,2086432,780108,406064,49461,2219142,0,39.12157803945099,14.62739068476712,7.613890347258682,0.9274169354233855,41.60995274881872,0,0,1,1,0,1,0
"Forsyth County, North Carolina",Forsyth County,37067,13889626,4302161,1018229,0,19995808,2061926,37.38061161602162,11.578239000142636,2.740320206258259,0,53.81394234780245,5.549181452904275,0,1,1,0,1,0
"Gaston County, North Carolina",Gaston County,37071,8260807,400626,865061,0,7991456,3561375,38.14117782856615,1.8497402867234574,3.9940946972320335,0,36.89755061523189,16.443313248839946,0,0,1,0,0,1
"Granville County, North Carolina",Granville County,37077,2406502,649526,217930,0,436953,0,40.87546285287223,11.032476135475761,3.7016339980296906,0,7.421833067228318,0,0,0,1,0,0,0
"Halifax County, North Carolina",Halifax County,37083,2034271,796346,156493,49461,1978128,0,39.31946189380907,15.392195140808319,3.024779171579334,0.9560082726095445,38.234300403966216,0,0,1,1,0,1,0
"Harnett County, North Carolina",Harnett County,37085,5101389,4356252,54204,0,4380960,1021188,39.132785112111755,33.41683478954595,0.4157992037495877,0,33.60637000329853,7.833539171991624,0,1,0,0,0,0
"Haywood County, North Carolina",Haywood County,37087,2473363,127065,16449,0,2397712,185429,40.92735756953982,2.1025764069299884,0.27218572634156835,0,39.675541508778316,3.068340145284861,0,0,0,0,1,0
"Henderson County, North Carolina",Henderson County,37089,4439236,399484,605796,0,6649493,2927553,39.06918371837184,3.5158107810781076,5.3315379537953795,0,58.521390539053904,25.76504290429043,0,0,1,0,1,1
"Iredell County, North Carolina",Iredell County,37097,6736524,302556,199801,98923,6572872,308461,39.04665410810028,1.7536936675844081,1.1580988262570642,0.5733835675988987,38.09808433560354,1.787920591218664,0,0,0,0,1,0
"Johnston County, North Carolina",Johnston County,37101,7718854,190083,949552,49461,4495490,610772,40.376488188646874,0.9943035590986128,4.96700353608269,0.25872512711066475,23.515420668298706,3.1948820957043917,0,0,1,0,0,0
"Lee County, North Carolina",Lee County,37105,2454168,774253,236232,0,1377814,0,40.81776299376299,12.877388773388773,3.929014553014553,0,22.915825363825363,0,0,1,1,0,0,0
