tract_geoid,tract_name,county_geoid,county_name,county_full_name,acs_unemp_total,acs_unemp_rate,acs_unemp_score
37025040800,"Census Tract 408, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,204,0.07,1.2790868691514197
37025041901,"Census Tract 419.01, Cabarrus County, North Carolina",37025,Cabarrus,Cabarrus County,58,0.04,0.048944174049608914
37089931200,"Census Tract 9312, Henderson County, North Carolina",37089,Henderson,Henderson County,15,0.01,-1.1811985210522016
37097060601,"Census Tract 606.01, Iredell County, North Carolina",37097,Iredell,Iredell County,118,0.03,-0.36110339098432803
37097061204,"Census Tract 612.04, Iredell County, North Carolina",37097,Iredell,Iredell County,69,0.02,-0.7711509560182648
37081015703,"Census Tract 157.03, Guilford County, North Carolina",37081,Guilford,Guilford County,193,0.04,0.048944174049608914
37081016305,"Census Tract 163.05, Guilford County, North Carolina",37081,Guilford,Guilford County,21,0.01,-1.1811985210522016
37083930200,"Census Tract 9302, Halifax County, North Carolina",37083,Halifax,Halifax County,77,0.02,-0.7711509560182648
37119001505,"Census Tract 15.05, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,84,0.03,-0.36110339098432803
37119001702,"Census Tract 17.02, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,259,0.06,0.8690393041174824
37119980300,"Census Tract 9803, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,0,0,-1.5912460860861384
37125950900,"Census Tract 9509, Moore County, North Carolina",37125,Moore,Moore County,100,0.04,0.048944174049608914
37119001923,"Census Tract 19.23, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,120,0.03,-0.36110339098432803
37119003017,"Census Tract 30.17, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,135,0.05,0.45899173908354585
37119003109,"Census Tract 31.09, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,284,0.09,2.099181999219293
37191000500,"Census Tract 5, Wayne County, North Carolina",37191,Wayne,Wayne County,8,0,-1.5912460860861384
37191001900,"Census Tract 19, Wayne County, North Carolina",37191,Wayne,Wayne County,331,0.09,2.099181999219293
37195000100,"Census Tract 1, Wilson County, North Carolina",37195,Wilson,Wilson County,127,0.04,0.048944174049608914
37195001400,"Census Tract 14, Wilson County, North Carolina",37195,Wilson,Wilson County,218,0.03,-0.36110339098432803
37199960400,"Census Tract 9604, Yancey County, North Carolina",37199,Yancey,Yancey County,98,0.03,-0.36110339098432803
37183053509,"Census Tract 535.09, Wake County, North Carolina",37183,Wake,Wake County,53,0.01,-1.1811985210522016
37183053718,"Census Tract 537.18, Wake County, North Carolina",37183,Wake,Wake County,49,0.02,-0.7711509560182648
37183054001,"Census Tract 540.01, Wake County, North Carolina",37183,Wake,Wake County,187,0.05,0.45899173908354585
37019020511,"Census Tract 205.11, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,15,0.01,-1.1811985210522016
37021001000,"Census Tract 10, Buncombe County, North Carolina",37021,Buncombe,Buncombe County,75,0.02,-0.7711509560182648
37101040700,"Census Tract 407, Johnston County, North Carolina",37101,Johnston,Johnston County,162,0.05,0.45899173908354585
37105030300,"Census Tract 303, Lee County, North Carolina",37105,Lee,Lee County,135,0.06,0.8690393041174824
37107010400,"Census Tract 104, Lenoir County, North Carolina",37107,Lenoir,Lenoir County,58,0.08,1.6891344341853562
37109070201,"Census Tract 702.01, Lincoln County, North Carolina",37109,Lincoln,Lincoln County,118,0.03,-0.36110339098432803
37183054018,"Census Tract 540.18, Wake County, North Carolina",37183,Wake,Wake County,99,0.04,0.048944174049608914
37185950400,"Census Tract 9504, Warren County, North Carolina",37185,Warren,Warren County,262,0.09,2.099181999219293
37189920500,"Census Tract 9205, Watauga County, North Carolina",37189,Watauga,Watauga County,767,0.11,2.919277129287167
37041930102,"Census Tract 9301.02, Chowan County, North Carolina",37041,Chowan,Chowan County,143,0.07,1.2790868691514197
37047930500,"Census Tract 9305, Columbus County, North Carolina",37047,Columbus,Columbus County,185,0.05,0.45899173908354585
37049960300,"Census Tract 9603, Craven County, North Carolina",37049,Craven,Craven County,263,0.05,0.45899173908354585
37119004303,"Census Tract 43.03, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,113,0.05,0.45899173908354585
37119005511,"Census Tract 55.11, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,115,0.03,-0.36110339098432803
