name,namelsad,geoid,ppp_per_capita,ppp_total,ppp_score
New Hanover,New Hanover County,37129,658.185121504163,147585507.98,2.537526406903302
Northampton,Northampton County,37131,151.92936787872785,3066846.22,-1.1855088261764757
Onslow,Onslow County,37133,199.61683294484098,38708099.31,-0.8348123425395533
Orange,Orange County,37135,460.7915692817865,65864625.33,1.085882362477457
Pamlico,Pamlico County,37137,283.60350023544186,3613675.8,-0.21716934452396275
Pasquotank,Pasquotank County,37139,357.5944887155197,14117472.82,0.32696483087850226
Pender,Pender County,37141,243.82474703490342,14390536.57,-0.5097046858667952
Perquimans,Perquimans County,37143,223.01979939074226,3001623.48,-0.662705521011675
Person,Person County,37145,236.28396692532758,9287141.32,-0.565160035918243
Pitt,Pitt County,37147,330.12256117087253,58554498.92,0.12493462492649333
Polk,Polk County,37149,309.8218809267768,6338336.04,-0.024357797456866996
Randolph,Randolph County,37151,309.6751942528575,44270546.42,-0.025436540071274726
Richmond,Richmond County,37153,177.0232875257253,7999505.34,-1.0009666331983247
Robeson,Robeson County,37155,178.4440750288515,23811934.26,-0.9905180765251852
Rockingham,Rockingham County,37157,245.7964901939301,22433845.66,-0.49520436819322716
Rowan,Rowan County,37159,256.07870713799645,35749867.91,-0.41958832692794223
Rutherford,Rutherford County,37161,233.18852116274874,15514498.69,-0.5879241300616453
Sampson,Sampson County,37163,429.13110681078024,27276002.28,0.8530494189878558
Scotland,Scotland County,37165,232.80215501106005,8209069.59,-0.5907654899579138
Stanly,Stanly County,37167,344.522518735478,21055149.21,0.2308327781503391
Stokes,Stokes County,37169,167.8105777148459,7703344.57,-1.068717454739448
Surry,Surry County,37171,299.513864963453,21594650.15,-0.10016356626003523
Swain,Swain County,37173,294.0735716290164,4191724.69,-0.14017181034881693
Transylvania,Transylvania County,37175,352.90495091457046,11826903.62,0.2924776880959018
Tyrrell,Tyrrell County,37177,346.0933867443554,1425558.66,0.24238503588111365
Union,Union County,37179,388.1795899318023,87997983.96,0.5518895030823864
Vance,Vance County,37181,264.4540366889978,11763444.46,-0.3579956501361586
Wake,Wake County,37183,522.8032214889189,547143893.875,1.5419197790901258
Warren,Warren County,37185,143.44423351470076,2873618.33,-1.247909014161424
Washington,Washington County,37187,213.83071569595262,2599326.18,-0.7302825946753805
Watauga,Watauga County,37189,554.0276271781511,29982313.1,1.7715459348038995
Wayne,Wayne County,37191,243.57599869356943,30203910.99,-0.5115339961162582
Wilkes,Wilkes County,37193,237.6894596844873,16272220.41,-0.5548239577112946
Wilson,Wilson County,37195,336.03631946493556,27331850.08,0.16842475877888663
Yadkin,Yadkin County,37197,222.56485357759192,8382905.21,-0.6660512198592856
Yancey,Yancey County,37199,247.21972377879663,4367630.86,-0.4847378228879843
