tract_geoid,tract_name,county_geoid,county_name,county_full_name,white_alone_total,white_alone_pct,white_alone_score
37041930102,"Census Tract 9301.02, Chowan County, North Carolina",37041,Chowan,Chowan County,1467,0.59,0.3793395668589389
37047930500,"Census Tract 9305, Columbus County, North Carolina",37047,Columbus,Columbus County,2466,0.58,0.42026610159746786
37049960300,"Census Tract 9603, Craven County, North Carolina",37049,Craven,Craven County,4461,0.66,0.09285382368923628
37119004303,"Census Tract 43.03, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1079,0.37,1.2797233311065748
37119005511,"Census Tract 55.11, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1211,0.3,1.566209074276277
37119005522,"Census Tract 55.22, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1333,0.28,1.648062143753335
37119005609,"Census Tract 56.09, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1147,0.33,1.4434294700606904
37119005713,"Census Tract 57.13, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,3831,0.88,-0.8075299405583997
37119005831,"Census Tract 58.31, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,3842,0.8,-0.4801176626501685
37063001503,"Census Tract 15.03, Durham County, North Carolina",37063,Durham,Durham County,792,0.47,0.8704579837212858
37063001709,"Census Tract 17.09, Durham County, North Carolina",37063,Durham,Durham County,1697,0.23,1.8526948174459796
37063002021,"Census Tract 20.21, Durham County, North Carolina",37063,Durham,Durham County,2886,0.66,0.09285382368923628
37115010100,"Census Tract 101, Madison County, North Carolina",37115,Madison,Madison County,2779,0.96,-1.1349422184666307
37115010500,"Census Tract 105, Madison County, North Carolina",37115,Madison,Madison County,4068,0.96,-1.1349422184666307
37117970400,"Census Tract 9704, Martin County, North Carolina",37117,Martin,Martin County,660,0.31,1.5252825395377483
37119000300,"Census Tract 3, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,581,0.61,0.297486497381881
37119000800,"Census Tract 8, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,392,0.13,2.2619601648312684
37067003003,"Census Tract 30.03, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,2479,0.76,-0.31641152369605274
37067003202,"Census Tract 32.02, Forsyth County, North Carolina",37067,Forsyth,Forsyth County,3561,0.88,-0.8075299405583997
37189920800,"Census Tract 9208, Watauga County, North Carolina",37189,Watauga,Watauga County,2298,0.95,-1.0940156837281019
37191000601,"Census Tract 6.01, Wayne County, North Carolina",37191,Wayne,Wayne County,2148,0.47,0.8704579837212858
37191001400,"Census Tract 14, Wayne County, North Carolina",37191,Wayne,Wayne County,1602,0.24,1.8117682827074506
37193960400,"Census Tract 9604, Wilkes County, North Carolina",37193,Wilkes,Wilkes County,7332,0.95,-1.0940156837281019
37159052000,"Census Tract 520, Rowan County, North Carolina",37159,Rowan,Rowan County,1180,0.53,0.6248987752901122
37161960200,"Census Tract 9602, Rutherford County, North Carolina",37161,Rutherford,Rutherford County,6524,0.91,-0.9303095447739864
37083930300,"Census Tract 9303, Halifax County, North Carolina",37083,Halifax,Halifax County,2973,0.66,0.09285382368923628
37053110102,"Census Tract 1101.02, Currituck County, North Carolina",37053,Currituck,Currituck County,1378,0.96,-1.1349422184666307
37055970601,"Census Tract 9706.01, Dare County, North Carolina",37055,Dare,Dare County,6260,0.86,-0.7256768710813417
37057060302,"Census Tract 603.02, Davidson County, North Carolina",37057,Davidson,Davidson County,3619,0.91,-0.9303095447739864
37057061000,"Census Tract 610, Davidson County, North Carolina",37057,Davidson,Davidson County,3476,0.71,-0.111778850003408
37061090400,"Census Tract 904, Duplin County, North Carolina",37061,Duplin,Duplin County,3473,0.63,0.21563342790482312
37179020701,"Census Tract 207.01, Union County, North Carolina",37179,Union,Union County,3580,0.63,0.21563342790482312
37063000200,"Census Tract 2, Durham County, North Carolina",37063,Durham,Durham County,1998,0.62,0.25655996264335207
37117970500,"Census Tract 9705, Martin County, North Carolina",37117,Martin,Martin County,3930,0.73,-0.19363191948046587
37119000700,"Census Tract 7, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,495,0.52,0.6658253100286411
37119001605,"Census Tract 16.05, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,697,0.37,1.2797233311065748
37119001910,"Census Tract 19.10, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1775,0.3,1.566209074276277
37119001919,"Census Tract 19.19, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1516,0.36,1.3206498658451038
37119002100,"Census Tract 21, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,1639,0.6,0.33841303212040996
37119002600,"Census Tract 26, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,522,0.54,0.5839722405515831
37119003008,"Census Tract 30.08, Mecklenburg County, North Carolina",37119,Mecklenburg,Mecklenburg County,3914,0.67,0.05192728895070734
37019020201,"Census Tract 202.01, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,2714,0.68,0.011000754212178393
37019020309,"Census Tract 203.09, Brunswick County, North Carolina",37019,Brunswick,Brunswick County,3079,1,-1.2986483574207466
